vds_id,year,contrib
IGJ10A0003,2010,2.1
IGJ10A0004,2010,3
IGJ10A0005,2010,3
IGJ10A0006,2010,2.1
IGJ10A0007,2010,7.2
IGJ10A0008,2010,6
IGJ10A0009,2010,4.2
IGJ10A0010,2010,4.5
IGJ10A0030,2010,5.4
IGJ10A0031,2010,8.4
IGJ10A0032,2010,8.4
IGJ10A0033,2010,3
IGJ10A0034,2010,6.6
IGJ10A0035,2010,5.4
IGJ10A0036,2010,6.6
IGJ10A0037,2010,6.6
IGJ10A0038,2010,5.1
IGJ10A0039,2010,7
IGJ10A0040,2010,5.4
IGJ10A0041,2010,8.4
IGJ10A0042,2010,4.2
IGJ10A0043,2010,7.2
IGJ10A0044,2010,7.2
IGJ10A0045,2010,6.3
IGJ10A0046,2010,5.1
IGJ10A0047,2010,5.1
IGJ10A0048,2010,3
IGJ10A0049,2010,5.1
IGJ10A0050,2010,4.3
IGJ10A0051,2010,4
IGJ10A0052,2010,4.5
IGJ10A0053,2010,6.6
IGJ10A0054,2010,7.2
IGJ10A0055,2010,4.2
IGJ10A0056,2010,6.1
IGJ10A0057,2010,7.2
IGJ10A0058,2010,10.3
IGJ10A0059,2010,6.6
IGJ10B0001,2010,10.2
IGJ10B0002,2010,12.9
IGJ10B0003,2010,4.2
IGJ10B0004,2010,5.4
IGJ10B0005,2010,6.3
IGJ10B0006,2010,4.2
IGJ10B0007,2010,4.2
IGJ10B0008,2010,3.9
IGJ10B0009,2010,6.3
IGJ10B0010,2010,3.3
IGJ10B0030,2010,6.9
IGJ10B0031,2010,6.3
IGJ10B0032,2010,7.5
IGJ10B0033,2010,6
IGJ10B0034,2010,9.9
IGJ10B0035,2010,6
IGJ10B0036,2010,8.7
IGJ10B0037,2010,5.4
IGJ10B0038,2010,8.1
IGJ10B0039,2010,11.5
IGJ10B0040,2010,9.6
IGJ10B0041,2010,5.1
IGJ10B0042,2010,4.2
IGJ10B0043,2010,4.2
IGJ10B0044,2010,4.5
IGJ10B0045,2010,3.3
IGJ10B0046,2010,2.1
IGJ10B0047,2010,4.2
IGJ10B0048,2010,6.6
IGJ10B0049,2010,7.2
IGJ10B0050,2010,11.2
IGJ10B0051,2010,3.3
IGJ10B0052,2010,9.6
IGJ10B0053,2010,5.1
IGJ10B0054,2010,10.8
IGJ10B0055,2010,9.3
IGJ10B0056,2010,7.5
IGJ10B0057,2010,9.3
IGJ10B0058,2010,6
IGJ10B0059,2010,10.3
IGJ10C0001,2010,4.2
IGJ10C0002,2010,5.4
IGJ10C0003,2010,7.8
IGJ10C0004,2010,5.1
IGJ10C0005,2010,3.9
IGJ10C0006,2010,3.3
IGJ10C0007,2010,5.4
IGJ10C0008,2010,4.2
IGJ10C0009,2010,6.6
IGJ10C0010,2010,7.5
IGJ10C0030,2010,5.1
IGJ10C0031,2010,4.5
IGJ10C0032,2010,7.5
IGJ10C0033,2010,8.5
IGJ10C0034,2010,5.2
IGJ10C0035,2010,4.5
IGJ10C0036,2010,5.1
IGJ10C0037,2010,6
IGJ10C0038,2010,6.3
IGJ10C0039,2010,6.3
IGJ10C0040,2010,4.2
IGJ10C0041,2010,5.1
IGJ10C0042,2010,5.4
IGJ10C0043,2010,7.5
IGJ10C0044,2010,7.2
IGJ10C0045,2010,4.2
IGJ10C0046,2010,6.3
